-,-,CMManagerAcc,-,-,CMManagerDevMotAcc,-,-,CMManagerDevMotAccGrav,-,-,Attitdue,-,-,-,AttitudeQuaternion,-,-,-,AttitudeRotationMatrix,-,-,CLManager,-,-,CMManagerDevMotMag,-,-,CMManagerMag,
Transaction,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1,DOT,DIFF,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1
16-07-26_27_North6_Leg,0.007584213,0.155813157,0.155813157,0.003916174,0.101568874,0.101568874,3.38E-07,-0.1612514,-0.157909621,0.010954671,0.901181833,0.901181832,0.005321838,0.901555977,0.901555977,0.999979567,0.012844785,-,-,-,695.7060647,-0.113916198,-0.1139162,11.05946216,0.936511767,0.936511767,122.0356355,-0.231924743,-0.231924748
16-07-26_27_North7_Leg,0.00681581,0.369989677,0.369989677,0.004159968,0.085735582,0.085735582,2.27E-07,0.095132164,0.101626016,0.010791497,-0.401270917,-0.401270913,0.005243131,-0.394767588,-0.394767616,0.999979863,0.012743152,-,-,-,695.8979865,0.122266418,0.122266418,10.82244486,0.953063413,0.953063413,122.0535259,0.352384668,0.352384673
16-07-26_27_North8_Leg,0.007513103,0.062325129,0.062325129,0.004223862,0.061455089,0.061455089,3.03E-07,-0.150252377,-0.148403539,0.010438739,-0.977030387,-0.977030386,0.005071549,-0.977109291,-0.977109292,0.999981544,0.012124676,-,-,-,695.8907216,0.249737223,0.249737223,10.19520678,0.986374665,0.986374665,122.1383981,-0.560904353,-0.560904349
16-07-26_27_North9_Leg,0.007464577,0.102701573,0.102701574,0.004249771,-0.06322234,-0.06322234,2.14E-07,0.074893974,0.065683423,0.009944905,0.822733175,0.822733174,0.004831721,0.822454931,0.82245493,0.999983879,0.011381753,-,-,-,695.7688912,0.217080335,0.217080333,9.926926084,0.990759219,0.990759219,121.987577,-0.234773152,-0.234773138
16-07-26_36_North1_Leg,0.008252724,0.378551849,0.378551849,0.003569662,0.213216471,0.213216471,2.64E-07,0.102611515,0.094951857,0.009515595,-0.385148728,-0.385148746,0.004530651,-0.392031057,-0.39203102,0.999986923,0.010097436,-,-,-,692.7635142,0.041137653,0.041137653,6.221449838,0.956350979,0.956350979,121.9241927,0.222865188,0.222865188
16-07-26_36_North10_Leg,0.00842714,0.11682184,0.116821839,0.003513679,0.744525009,0.744525009,2.87E-07,-0.032763224,-0.040283023,0.009596745,0.421305532,0.421305521,0.004568632,0.423664212,0.42366422,0.999987846,0.009813735,-,-,-,692.6047472,0.145034351,0.145034352,5.653773848,0.983674701,0.983674701,121.7030194,-0.066639844,-0.066639864
16-07-26_36_North2_Leg,0.008121023,0.042133594,0.042133594,0.002773693,-0.145156499,-0.145156499,2.55E-07,0.159452501,0.163376673,0.009132663,0.859853573,0.859853575,0.004348031,0.859693452,0.85969345,0.99998851,0.009698402,-,-,-,692.8784953,-0.415374975,-0.41537498,5.77629088,0.990776864,0.990776864,121.6801206,-0.517797388,-0.517797389
16-07-26_36_North3_Leg,0.008737358,-0.217424751,-0.21742475,0.003350101,-0.0420323,-0.0420323,2.82E-07,-0.082594759,-0.075854318,0.009585763,0.813834992,0.813834992,0.00456361,0.814427919,0.814427911,0.999987498,0.010000042,-,-,-,692.8287106,0.152159195,0.152159193,6.836473568,0.907614668,0.907614668,121.7499623,-0.140565156,-0.14056512
16-07-26_36_North4_Leg,0.008417842,-0.050552057,-0.050552056,0.002707331,0.032058658,0.032058658,2.66E-07,0.086733874,0.091618964,0.009703853,0.629785625,0.629785629,0.004619679,0.627530161,0.627530155,0.999987026,0.010097436,-,-,-,692.7102047,-0.130991585,-0.130991585,5.715283837,0.988855847,0.988855847,121.5933476,0.147559027,0.147559037
16-07-26_36_North5_Leg,0.008409944,-0.14540841,-0.145408409,0.002759237,-0.19164277,-0.19164277,2.44E-07,0.118942905,0.12342761,0.010057811,0.611099245,0.611099241,0.004787426,0.61024387,0.610243876,0.99998664,0.010262051,-,-,-,692.9087028,0.027456064,0.027456063,6.685016321,0.916866096,0.916866096,121.8345041,0.204113128,0.204113129
