Threshold, FPR, FNR
-0.812966446,0.997368421053,0.0
-0.795806216284,0.997368421053,0.0
-0.778645986568,0.997368421053,0.0
-0.761485756852,0.997368421053,0.0
-0.744325527136,0.997368421053,0.00263157894737
-0.72716529742,0.997368421053,0.00526315789474
-0.710005067704,0.997368421053,0.00526315789474
-0.692844837988,0.994736842105,0.00526315789474
-0.675684608272,0.994736842105,0.00789473684211
-0.658524378556,0.989473684211,0.00789473684211
-0.64136414884,0.989473684211,0.00789473684211
-0.624203919124,0.984210526316,0.00789473684211
-0.607043689408,0.978947368421,0.00789473684211
-0.589883459692,0.976315789474,0.0131578947368
-0.572723229976,0.976315789474,0.0157894736842
-0.55556300026,0.976315789474,0.0157894736842
-0.538402770544,0.971052631579,0.0184210526316
-0.521242540828,0.968421052632,0.0184210526316
-0.504082311112,0.968421052632,0.0210526315789
-0.486922081396,0.965789473684,0.0263157894737
-0.46976185168,0.965789473684,0.0263157894737
-0.452601621964,0.965789473684,0.0263157894737
-0.435441392248,0.965789473684,0.0263157894737
-0.418281162532,0.963157894737,0.0289473684211
-0.401120932816,0.955263157895,0.0289473684211
-0.3839607031,0.947368421053,0.0315789473684
-0.366800473384,0.942105263158,0.0315789473684
-0.349640243668,0.942105263158,0.0315789473684
-0.332480013952,0.936842105263,0.0315789473684
-0.315319784236,0.934210526316,0.0315789473684
-0.29815955452,0.928947368421,0.0315789473684
-0.280999324804,0.918421052632,0.0315789473684
-0.263839095088,0.910526315789,0.0315789473684
-0.246678865372,0.905263157895,0.0342105263158
-0.229518635656,0.897368421053,0.0368421052632
-0.21235840594,0.894736842105,0.0473684210526
-0.195198176224,0.884210526316,0.0473684210526
-0.178037946508,0.876315789474,0.05
-0.160877716792,0.852631578947,0.0526315789474
-0.143717487076,0.826315789474,0.0578947368421
-0.12655725736,0.813157894737,0.0631578947368
-0.109397027644,0.802631578947,0.0684210526316
-0.092236797928,0.781578947368,0.110526315789
-0.075076568212,0.75,0.144736842105
-0.057916338496,0.705263157895,0.186842105263
-0.04075610878,0.668421052632,0.244736842105
-0.023595879064,0.628947368421,0.334210526316
-0.006435649348,0.576315789474,0.486842105263
0.010724580368,0.518421052632,0.642105263158
0.027884810084,0.465789473684,0.728947368421
0.0450450398,0.415789473684,0.802631578947
0.062205269516,0.381578947368,0.857894736842
0.079365499232,0.365789473684,0.894736842105
0.096525728948,0.339473684211,0.915789473684
0.113685958664,0.302631578947,0.923684210526
0.13084618838,0.284210526316,0.934210526316
0.148006418096,0.276315789474,0.944736842105
0.165166647812,0.263157894737,0.952631578947
0.182326877528,0.242105263158,0.960526315789
0.199487107244,0.234210526316,0.963157894737
0.21664733696,0.228947368421,0.963157894737
0.233807566676,0.221052631579,0.963157894737
0.250967796392,0.221052631579,0.965789473684
0.268128026108,0.207894736842,0.965789473684
0.285288255824,0.192105263158,0.965789473684
0.30244848554,0.184210526316,0.965789473684
0.319608715256,0.181578947368,0.965789473684
0.336768944972,0.176315789474,0.968421052632
0.353929174688,0.176315789474,0.968421052632
0.371089404404,0.171052631579,0.973684210526
0.38824963412,0.160526315789,0.973684210526
0.405409863836,0.152631578947,0.973684210526
0.422570093552,0.147368421053,0.973684210526
0.439730323268,0.139473684211,0.978947368421
0.456890552984,0.131578947368,0.978947368421
0.4740507827,0.131578947368,0.978947368421
0.491211012416,0.123684210526,0.984210526316
0.508371242132,0.115789473684,0.986842105263
0.525531471848,0.113157894737,0.986842105263
0.542691701564,0.102631578947,0.986842105263
0.55985193128,0.0921052631579,0.986842105263
0.577012160996,0.0842105263158,0.989473684211
0.594172390712,0.0815789473684,0.992105263158
0.611332620428,0.0710526315789,0.992105263158
0.628492850144,0.0657894736842,0.994736842105
0.64565307986,0.0578947368421,0.994736842105
0.662813309576,0.0578947368421,0.994736842105
0.679973539292,0.0578947368421,0.994736842105
0.697133769008,0.0552631578947,0.997368421053
0.714293998724,0.05,0.997368421053
0.73145422844,0.0368421052632,0.997368421053
0.748614458156,0.0368421052632,0.997368421053
0.765774687872,0.0342105263158,0.997368421053
0.782934917588,0.0236842105263,0.997368421053
0.800095147304,0.0210526315789,1.0
0.81725537702,0.0157894736842,1.0
0.834415606736,0.0131578947368,1.0
0.851575836452,0.0105263157895,1.0
0.868736066168,0.00789473684211,1.0
0.885896295884,0.00526315789474,1.0
0.9030565256,0.00263157894737,1.0
