Threshold, FPR, FNR
-0.665489576238,1.0,0.00263157894737
-0.650593402226,1.0,0.00526315789474
-0.635697228213,1.0,0.00789473684211
-0.620801054201,0.997368421053,0.00789473684211
-0.605904880188,0.997368421053,0.0131578947368
-0.591008706176,0.997368421053,0.0131578947368
-0.576112532164,0.997368421053,0.0131578947368
-0.561216358151,0.994736842105,0.0131578947368
-0.546320184139,0.992105263158,0.0131578947368
-0.531424010127,0.992105263158,0.0157894736842
-0.516527836114,0.984210526316,0.0210526315789
-0.501631662102,0.978947368421,0.0263157894737
-0.486735488089,0.973684210526,0.0342105263158
-0.471839314077,0.965789473684,0.0421052631579
-0.456943140065,0.965789473684,0.0447368421053
-0.442046966052,0.955263157895,0.0526315789474
-0.42715079204,0.955263157895,0.0526315789474
-0.412254618028,0.944736842105,0.0657894736842
-0.397358444015,0.934210526316,0.0710526315789
-0.382462270003,0.931578947368,0.0815789473684
-0.36756609599,0.921052631579,0.0868421052632
-0.352669921978,0.910526315789,0.102631578947
-0.337773747966,0.892105263158,0.113157894737
-0.322877573953,0.886842105263,0.123684210526
-0.307981399941,0.878947368421,0.134210526316
-0.293085225928,0.863157894737,0.144736842105
-0.278189051916,0.847368421053,0.157894736842
-0.263292877904,0.828947368421,0.168421052632
-0.248396703891,0.797368421053,0.178947368421
-0.233500529879,0.786842105263,0.189473684211
-0.218604355867,0.773684210526,0.210526315789
-0.203708181854,0.752631578947,0.228947368421
-0.188812007842,0.734210526316,0.252631578947
-0.173915833829,0.721052631579,0.260526315789
-0.159019659817,0.707894736842,0.281578947368
-0.144123485805,0.705263157895,0.3
-0.129227311792,0.686842105263,0.315789473684
-0.11433113778,0.676315789474,0.342105263158
-0.0994349637676,0.655263157895,0.35
-0.0845387897552,0.634210526316,0.371052631579
-0.0696426157428,0.621052631579,0.397368421053
-0.0547464417304,0.610526315789,0.426315789474
-0.039850267718,0.597368421053,0.436842105263
-0.0249540937057,0.584210526316,0.444736842105
-0.0100579196933,0.55,0.468421052632
0.0048382543191,0.542105263158,0.481578947368
0.0197344283315,0.521052631579,0.507894736842
0.0346306023439,0.489473684211,0.534210526316
0.0495267763562,0.460526315789,0.55
0.0644229503686,0.452631578947,0.565789473684
0.079319124381,0.434210526316,0.584210526316
0.0942152983934,0.410526315789,0.610526315789
0.109111472406,0.394736842105,0.631578947368
0.124007646418,0.371052631579,0.644736842105
0.138903820431,0.342105263158,0.663157894737
0.153799994443,0.321052631579,0.673684210526
0.168696168455,0.292105263158,0.702631578947
0.183592342468,0.271052631579,0.710526315789
0.19848851648,0.263157894737,0.734210526316
0.213384690492,0.244736842105,0.752631578947
0.228280864505,0.234210526316,0.763157894737
0.243177038517,0.223684210526,0.781578947368
0.25807321253,0.2,0.789473684211
0.272969386542,0.186842105263,0.797368421053
0.287865560554,0.160526315789,0.818421052632
0.302761734567,0.155263157895,0.834210526316
0.317657908579,0.15,0.871052631579
0.332554082591,0.131578947368,0.892105263158
0.347450256604,0.121052631579,0.907894736842
0.362346430616,0.110526315789,0.913157894737
0.377242604629,0.1,0.915789473684
0.392138778641,0.0868421052632,0.926315789474
0.407034952653,0.0815789473684,0.936842105263
0.421931126666,0.0736842105263,0.942105263158
0.436827300678,0.0631578947368,0.95
0.451723474691,0.0631578947368,0.957894736842
0.466619648703,0.0552631578947,0.968421052632
0.481515822715,0.05,0.968421052632
0.496411996728,0.0473684210526,0.971052631579
0.51130817074,0.0473684210526,0.978947368421
0.526204344752,0.0421052631579,0.984210526316
0.541100518765,0.0315789473684,0.989473684211
0.555996692777,0.0289473684211,0.989473684211
0.57089286679,0.0263157894737,0.989473684211
0.585789040802,0.0236842105263,0.989473684211
0.600685214814,0.0210526315789,0.992105263158
0.615581388827,0.0184210526316,0.992105263158
0.630477562839,0.0157894736842,0.992105263158
0.645373736851,0.0105263157895,0.994736842105
0.660269910864,0.00789473684211,0.997368421053
0.675166084876,0.00789473684211,1.0
0.690062258889,0.00526315789474,1.0
0.704958432901,0.00526315789474,1.0
0.719854606913,0.00263157894737,1.0
0.734750780926,0.00263157894737,1.0
0.749646954938,0.00263157894737,1.0
0.76454312895,0.00263157894737,1.0
0.779439302963,0.00263157894737,1.0
0.794335476975,0.00263157894737,1.0
0.809231650988,0.00263157894737,1.0
0.824127825,0.00263157894737,1.0
