Threshold, FPR, FNR
-0.512169465079,1.0,0.00263157894737
-0.501535256518,1.0,0.00263157894737
-0.490901047957,1.0,0.00263157894737
-0.480266839397,1.0,0.00263157894737
-0.469632630836,1.0,0.00263157894737
-0.458998422275,1.0,0.00263157894737
-0.448364213714,0.997368421053,0.00263157894737
-0.437730005153,0.997368421053,0.00263157894737
-0.427095796593,0.994736842105,0.00526315789474
-0.416461588032,0.994736842105,0.00789473684211
-0.405827379471,0.992105263158,0.00789473684211
-0.39519317091,0.989473684211,0.00789473684211
-0.38455896235,0.986842105263,0.0105263157895
-0.373924753789,0.986842105263,0.0105263157895
-0.363290545228,0.981578947368,0.0131578947368
-0.352656336667,0.976315789474,0.0157894736842
-0.342022128106,0.976315789474,0.0184210526316
-0.331387919546,0.976315789474,0.0210526315789
-0.320753710985,0.976315789474,0.0210526315789
-0.310119502424,0.973684210526,0.0263157894737
-0.299485293863,0.968421052632,0.0342105263158
-0.288851085302,0.965789473684,0.0368421052632
-0.278216876742,0.955263157895,0.0447368421053
-0.267582668181,0.95,0.0578947368421
-0.25694845962,0.947368421053,0.0605263157895
-0.246314251059,0.939473684211,0.0631578947368
-0.235680042498,0.939473684211,0.0789473684211
-0.225045833938,0.936842105263,0.0842105263158
-0.214411625377,0.915789473684,0.0921052631579
-0.203777416816,0.910526315789,0.1
-0.193143208255,0.910526315789,0.113157894737
-0.182508999695,0.897368421053,0.123684210526
-0.171874791134,0.878947368421,0.139473684211
-0.161240582573,0.868421052632,0.155263157895
-0.150606374012,0.847368421053,0.165789473684
-0.139972165451,0.823684210526,0.178947368421
-0.129337956891,0.810526315789,0.194736842105
-0.11870374833,0.792105263158,0.2
-0.108069539769,0.771052631579,0.207894736842
-0.0974353312082,0.760526315789,0.231578947368
-0.0868011226474,0.742105263158,0.239473684211
-0.0761669140866,0.713157894737,0.265789473684
-0.0655327055258,0.684210526316,0.294736842105
-0.054898496965,0.652631578947,0.321052631579
-0.0442642884042,0.626315789474,0.357894736842
-0.0336300798434,0.618421052632,0.368421052632
-0.0229958712827,0.584210526316,0.410526315789
-0.0123616627219,0.571052631579,0.421052631579
-0.00172745416108,0.560526315789,0.431578947368
0.00890675439971,0.528947368421,0.463157894737
0.0195409629605,0.502631578947,0.486842105263
0.0301751715213,0.481578947368,0.510526315789
0.0408093800821,0.452631578947,0.536842105263
0.0514435886429,0.410526315789,0.563157894737
0.0620777972037,0.397368421053,0.592105263158
0.0727120057645,0.360526315789,0.605263157895
0.0833462143252,0.328947368421,0.634210526316
0.093980422886,0.305263157895,0.668421052632
0.104614631447,0.286842105263,0.689473684211
0.115248840008,0.263157894737,0.723684210526
0.125883048568,0.236842105263,0.75
0.136517257129,0.210526315789,0.781578947368
0.14715146569,0.202631578947,0.794736842105
0.157785674251,0.165789473684,0.821052631579
0.168419882812,0.157894736842,0.828947368421
0.179054091372,0.134210526316,0.852631578947
0.189688299933,0.118421052632,0.863157894737
0.200322508494,0.105263157895,0.878947368421
0.210956717055,0.0921052631579,0.897368421053
0.221590925616,0.0815789473684,0.905263157895
0.232225134176,0.0684210526316,0.913157894737
0.242859342737,0.0578947368421,0.931578947368
0.253493551298,0.05,0.947368421053
0.264127759859,0.0473684210526,0.957894736842
0.274761968419,0.0447368421053,0.963157894737
0.28539617698,0.0394736842105,0.963157894737
0.296030385541,0.0368421052632,0.965789473684
0.306664594102,0.0315789473684,0.971052631579
0.317298802663,0.0289473684211,0.971052631579
0.327933011223,0.0263157894737,0.973684210526
0.338567219784,0.0263157894737,0.973684210526
0.349201428345,0.0236842105263,0.976315789474
0.359835636906,0.0157894736842,0.978947368421
0.370469845467,0.0131578947368,0.984210526316
0.381104054027,0.0105263157895,0.989473684211
0.391738262588,0.00789473684211,0.994736842105
0.402372471149,0.00789473684211,0.997368421053
0.41300667971,0.00526315789474,0.997368421053
0.423640888271,0.00526315789474,0.997368421053
0.434275096831,0.00526315789474,0.997368421053
0.444909305392,0.00526315789474,0.997368421053
0.455543513953,0.00526315789474,1.0
0.466177722514,0.00526315789474,1.0
0.476811931074,0.00526315789474,1.0
0.487446139635,0.00526315789474,1.0
0.498080348196,0.00526315789474,1.0
0.508714556757,0.00526315789474,1.0
0.519348765318,0.00263157894737,1.0
0.529982973878,0.00263157894737,1.0
0.540617182439,0.00263157894737,1.0
